Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 97, 14362, No update data, 9g3qx20936bm
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 79, 10744, No update data, 9g3qx902197d
Bird, MEX, ddb31a33-c674-46be-858b-b983d0988788, 83, 12024, No update data, 9g3qx88wvqxb
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx2090s8w
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 99, 14696, No update data, 9g3qx2090488
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 98, 14529, No update data, 9g3qx208bmge
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 100, 14062, No update data, 9g3qx203pc63
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 94, 13861, No update data, 9g3qx203nmh2
Bird, MEX, 8300aac1-5648-4270-9a7b-7bd9121798ef, 85, 11692, No update data, 9g3qx0rvg085
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 58, 7849, No update data, 9g3qrrc340kf
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 83, 11376, No update data, 9g3qrrc4e105
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 98, 14529, No update data, 9g3qrrwysqqk
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 99, 14696, No update data, 9g3qx202qqk6
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 90, 13193, No update data, 9g3qx202q431
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 75, 10112, No update data, 9g3qx90jt4sy
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 64, 8851, No update data, 9g3qx0zdsfrs
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 72, 9638, No update data, 9g3qx39c3e72
