Bird, MEX, 31e56a5d-4175-454e-af22-7bbc0f8340f7, 97, 14362, No update data, 9g3qrx8pywrx
Bird, MEX, ba5ca64c-f8df-422b-a597-cb5051144a70, 91, 13360, No update data, 9g3qrx8pwrh8
Bird, MEX, 3c3d77b7-6300-4109-a8dc-a0535b985c6b, 97, 14362, No update data, 9g3qrx8pxq9n
Bird, MEX, 447aa4f1-8a0a-4eb8-85d0-14cc1ec89f82, 61, 7900, No update data, 9g3qx3xb5zjp
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 35, 4008, No update data, 9g3qrr94h6y4
Bird, MEX, c96ac753-9e09-4de9-9488-2d79102bdc97, 60, 8183, No update data, 9g3qrrx3vu71
Bird, MEX, 90ed6b11-b38d-46cc-937b-36c6af8233bc, 44, 5511, No update data, 9g3qrr3ydk9b
Bird, MEX, a4684039-ead9-40f1-9f44-131a676c0f46, 80, 11523, No update data, 9g3qrr3y2tqu
Bird, MEX, 3defaae1-756f-41c0-9db4-82f7df6628cf, 78, 10586, No update data, 9g3qx89ew9ry
Bird, MEX, f2c30b70-6099-41bf-bc2e-211595aa42c1, 51, 6320, No update data, 9g3qx0pp9wer
Bird, MEX, 9c23dcac-0023-4755-9d0e-33e22b95b3bc, 53, 7014, No update data, 9g3qx0quuvzs
Bird, MEX, e644af59-bf44-458d-9810-7daa1e6a73d2, 76, 10270, No update data, 9g3qrr8pn490
Bird, MEX, 06cb841d-678e-464f-9a45-b0e1ce4c4b96, 73, 10354, No update data, 9g3qx91jp9k6
Bird, MEX, f74d898f-f41b-4339-88c9-44ad498d2e51, 45, 5678, No update data, 9g3qrrk8vbs3
Bird, MEX, 97fa1ec9-702b-4cc8-a254-b250dd61e735, 65, 9018, No update data, 9g3qrpzc84j3
Bird, MEX, 13268e1b-461a-4845-ab6e-5da054068f14, 48, 5846, No update data, 9g3qrrq69u88
Bird, MEX, d6b92cb3-a056-4c0b-8772-84668e459283, 55, 6952, No update data, 9g3qrrkbpvd7
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 71, 9480, No update data, 9g3qrr5z7szb
Bird, MEX, 3b993380-e438-485d-bedf-fe2863fb803e, 99, 13904, No update data, 9g3qrr5zk6bh
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 96, 13430, No update data, 9g3qrr5zk3bn
Bird, MEX, dd9c6468-a020-4f8c-9e13-ecd57fd67b7c, 37, 4342, No update data, 9g3qrpxyn0r6
Bird, MEX, 53fa1d4d-1f37-404f-8cb0-dab509a69fa7, 58, 7426, No update data, 9g3qx8cgpb6s
Bird, MEX, b09b3a14-f36c-4ab3-9bc0-ca8bfc8b3a13, 54, 6794, No update data, 9g3qx3gjz32b
Bird, MEX, 81ab80c6-c26b-486d-81d3-1f20861393e0, 61, 8350, No update data, 9g3qx3gjy9xd
