Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 99, 13904, No update data, 9g3qx3me01j8
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 91, 13360, No update data, 9g3qx2305p80
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 84, 11534, No update data, 9g3qx28g9f06
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx3p235zh
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 92, 13527, No update data, 9g3qx2zt8d8y
Bird, MEX, 208fcbe3-a0f6-409e-9353-79f129875513, 97, 14362, No update data, 9g3qx3m7vkxv
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 76, 10855, No update data, 9g3qx2z9pr90
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 96, 14195, No update data, 9g3qx3m7vww0
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 84, 11534, No update data, 9g3qx28eprz4
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 97, 13588, No update data, 9g3qx3mkhs57
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 66, 8690, No update data, 9g3qx3p25z80
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 75, 10688, No update data, 9g3qrryzddvp
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 91, 9440, No update data, 9g3qx2zt69mh
Bird, MEX, da7dfdac-193a-4418-9773-a104a7da7491, 80, 11523, No update data, 9g3qrrytuyzc
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 93, 13694, No update data, 9g3qx2zt7f24
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 93, 13694, No update data, 9g3qx2zsuwe2
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 92, 9558, No update data, 9g3qx2zswhxd
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 90, 13193, No update data, 9g3qx2zswjzd
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 91, 13360, No update data, 9g3qx215su93
