Bird, MEX, 624bf21a-1e3f-4419-ad1a-077d2f510c56, 85, 12358, No update data, 9g3qx2083t7k
Bird, MEX, 6462565e-916e-4f0e-9b4a-4dc4fe3835ac, 38, 4509, No update data, 9g3qx3d0rsu4
Bird, MEX, c99f496a-254e-4940-8951-e0b58fd65a98, 89, 13026, No update data, 9g3qrrwwpth2
Bird, MEX, f277bae7-9251-4364-a33b-af8487898e26, 94, 13114, No update data, 9g3qrrwvbr7v
Bird, MEX, 9a9a12b3-0b29-4799-a9ba-d2da30068b6b, 98, 14529, No update data, 9g3qx3ehnmh3
Bird, MEX, fe6a4a75-799d-405f-b205-19e2cc7d2458, 96, 14195, No update data, 9g3qx3ehnhc0
Bird, MEX, fe2d2b3d-2645-48f7-b0c8-1b757475b26e, 97, 13588, No update data, 9g3qx3ehjzs1
Bird, MEX, 473d4d6d-36fe-4d58-8beb-6e17adfd86cd, 97, 14362, No update data, 9g3qx3ehmdwh
Bird, MEX, ad80598c-a5ac-46c2-8e3b-5e6684fb7b37, 84, 11534, No update data, 9g3qrr9trpgg
Bird, MEX, 7792dec0-5ce4-4588-aa89-878581473de0, 79, 10744, No update data, 9g3qx8bwugpg
Bird, MEX, 084cb774-e6b5-4cd4-8869-1053d4ceeaf8, 73, 10354, No update data, 9g3qx3tkwqu2
Bird, MEX, 021b3143-2adb-43d3-835d-54e86881e583, 52, 6847, No update data, 9g3qrr9tjdvf
Bird, MEX, 5a9928c8-c851-44dc-8758-99fa114a49a1, 61, 7900, No update data, 9g3qrrbqu2q0
Bird, MEX, ab8b7181-1ad6-48c6-b59a-cc847cc7dec8, 58, 7849, No update data, 9g3qx39chmbp
Bird, MEX, 70c09a11-6d2e-41b9-997e-508e24375b41, 49, 6004, No update data, 9g3qx0zd7s3x
Bird, MEX, 09c9f43d-dc1f-4703-a57b-db4b5724a322, 19, 1336, No update data, 9g3qx8bycted
Bird, MEX, 2343fc3a-74f7-4a3e-8d2e-44ed51c2b42a, 45, 5678, No update data, 9g3qrxbhufc8
Bird, MEX, 8f75bc15-3c7b-41e8-bef9-41016caef15e, 71, 9480, No update data, 9g3qx3wcjxw1
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 78, 10586, No update data, 9g3qrrkmvsyj
Bird, MEX, 5e421af7-331e-4685-9b76-ae92936cf173, 87, 12692, No update data, 9g3qx90s9jpq
Bird, MEX, efbb0f9c-f89d-4803-bfad-13a3ae3c087c, 81, 11690, No update data, 9g3qx3ex5486
Bird, MEX, d2b25812-2a8e-400b-a88d-3a41a462bc75, 70, 9853, No update data, 9g3qx3ex5e1w
Bird, MEX, d5cfb9a4-3675-40e4-999a-2c08cb8f23fd, 61, 7900, No update data, 9g3qrr9ejhhd
Bird, MEX, 66dee90e-c9a8-4249-9414-2d49eea50d71, 78, 11189, No update data, 9g3qx90g55b3
Bird, MEX, 344f49bf-3493-45a5-ac80-a190fddce4bb, 42, 5177, No update data, 9g3qx897epqe
Bird, MEX, 73a220b8-1109-4e7b-a83f-a091a9dfe305, 22, 1837, No update data, 9g3qx8chn3k9
Bird, MEX, 4e188609-8466-4056-9538-6c9d5a3fe813, 33, 3674, No update data, 9g3qrr6w9g23
Bird, MEX, dc7492b7-f820-4216-9745-674f3b4ce9b0, 72, 10187, No update data, 9g3qx8370t2f
Bird, MEX, b9f3f6ec-8737-40b5-af35-849d967079ec, 85, 12358, No update data, 9g3qx8chp691
Bird, MEX, ddf0a7d3-3c46-4303-986f-268d4d222bc5, 98, 13746, No update data, 9g3qx92h581f
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 70, 9853, No update data, 9g3qx3epc7j7
Bird, MEX, a550d7f5-56d2-4b40-8d12-5d705dca8506, 84, 12191, No update data, 9g3qx0p9vs2f
Bird, MEX, 4b465ab1-d472-4b1e-a31c-d4d63e5db8a9, 89, 13026, No update data, 9g3qrr96nubz
Bird, MEX, 91b40f0f-2dc3-46b5-99d4-916f43e12d5b, 92, 13527, No update data, 9g3qx92hfzg2
Bird, MEX, b2e1e1f4-ff09-49c2-b9ae-9f6aa39eebe3, 89, 13026, No update data, 9g3qrpzz8q7t
