Bird, MEX, 7aed04a9-4909-4bd2-a5dc-dc9397b66361, 40, 4582, No update data, 9g3qx2zkzmzk
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 55, 6952, No update data, 9g3qx3mdgpb2
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7sk84
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3mhmm6y
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3mk4eb1
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 47, 5688, No update data, 9g3qx31yyc8c
Bird, MEX, 61878a4d-6e9f-4315-a33f-d85be43f0544, 45, 5372, No update data, 9g3qx2xf7ujj
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 64, 8851, No update data, 9g3qx2xzcybd
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 78, 11189, No update data, 9g3qx3mefs01
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 30, 3173, No update data, 9g3qrrf7n4c4
Bird, MEX, de2944d3-94f9-4107-af70-1ee60190e231, 97, 13588, No update data, 9g3qx21humy5
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 99, 13904, No update data, 9g3qx215z0ef
Bird, MEX, 3f085527-7040-43a2-881b-f4bbaa1c28e4, 97, 13588, No update data, 9g3qx21j5hwq
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 96, 14195, No update data, 9g3qx21hkwsk
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 90, 13193, No update data, 9g3qx2zsp61p
Bird, MEX, baab2632-4df5-42b7-be7a-feff70750bf0, 85, 11692, No update data, 9g3qx21hh171
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 97, 14362, No update data, 9g3qx215k1gp
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 58, 7849, No update data, 9g3qrrf95cuu
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 51, 6320, No update data, 9g3qx22s4jsu
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 63, 8216, No update data, 9g3qx2zz4fg7
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 85, 11692, No update data, 9g3qx3p9whxd
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 60, 8183, No update data, 9g3qx2zysgzy
Bird, MEX, c5956a6a-cf33-4a50-9805-a815fd46f063, 100, 14863, No update data, 9g3qx3pdjmfz
Bird, MEX, 5c65aad0-828c-44f0-975f-8b9e475125dd, 98, 14529, No update data, 9g3qx3pdu555
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 54, 7181, No update data, 9g3qx8bj8x0c
Bird, MEX, ff1eb0a4-c975-49df-bdea-b33d9b1bb218, 51, 6320, No update data, 9g3qx20f8beb
Bird, MEX, 2ff0d374-6250-4182-ba8f-9c7c05fd4124, 29, 3006, No update data, 9g3qx8bp3mmm
Bird, MEX, 01ee3d43-e134-4560-a5f5-be6d52a92c00, 72, 10187, No update data, 9g3qx8bns7wk
Bird, MEX, 7017fcb3-6e54-4ccb-ac76-8c7c750f2216, 75, 10688, No update data, 9g3qx22ph5zc
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 75, 10688, No update data, 9g3qrrdtpg4k
