Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 98, 13746, No update data, 9g3qx9027w9v
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 99, 13904, No update data, 9g3qx9035b8n
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 62, 8058, No update data, 9g3qrrd7g6sx
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 100, 14062, No update data, 9g3qx902m9qh
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 40, 4582, No update data, 9g3qx3e7b50e
Bird, MEX, 2e335fe6-bee6-4ac2-a573-4c766a07087c, 90, 13193, No update data, 9g3qx3tenj37
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 83, 11376, No update data, 9g3qx32cvusj
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 83, 11376, No update data, 9g3qx903sbpz
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 49, 6346, No update data, 9g3qrrbrrb47
Bird, MEX, 8b644847-990a-400c-95bc-76e173197602, 92, 12798, No update data, 9g3qrrc22ntk
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 48, 6179, No update data, 9g3qx33zc7mm
Bird, MEX, 5f81f73a-286d-4d4d-bf2f-86c0e7eb1d51, 93, 12956, No update data, 9g3qx2056m9y
Bird, MEX, bc096ecd-5783-4ffe-b694-25020987449a, 98, 13746, No update data, 9g3qx2053gnx
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 88, 12166, No update data, 9g3qx32gtwmy
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 98, 14529, No update data, 9g3qx3sr8tbf
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 48, 5846, No update data, 9g3qrxbx47ph
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 64, 8374, No update data, 9g3qx834yjze
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 97, 13588, No update data, 9g3qx90g1yqc
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 64, 8374, No update data, 9g3qrr97nb8u
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 99, 13904, No update data, 9g3qrr7u96j3
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 97, 13588, No update data, 9g3qx90g4ze2
Bird, MEX, 769dcc13-d4ef-49ed-a5e3-5a6bec6eb371, 84, 11534, No update data, 9g3qx8c5wszu
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 100, 14863, No update data, 9g3qrr7u2sqy
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 94, 13114, No update data, 9g3qx90ghvpc
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 99, 13904, No update data, 9g3qx90ghvrg
Bird, MEX, d0267e20-8e89-4a1a-8969-2beb7d22d9c0, 57, 7268, No update data, 9g3qrrmhkn71
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 98, 14529, No update data, 9g3qx92hd6rj
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 99, 13904, No update data, 9g3qx90gq01k
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 97, 13588, No update data, 9g3qx90gty7n
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 97, 13588, No update data, 9g3qx0pe2fvj
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 69, 9164, No update data, 9g3qx8c7dk60
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 79, 10744, No update data, 9g3qx90gwszu
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 92, 12798, No update data, 9g3qx92hszxy
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 92, 13527, No update data, 9g3qx92j5f20
Bird, MEX, af29b99b-da68-4c35-b38e-dd1caa7da380, 92, 12798, No update data, 9g3qx92hpk9p
