Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 83, 11376, No update data, 9g3qx32cjhhe
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 48, 6179, No update data, 9g3qx33z6f52
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 62, 8058, No update data, 9g3qrrd76x81
Bird, MEX, 8b644847-990a-400c-95bc-76e173197602, 92, 12798, No update data, 9g3qrrc2906p
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 40, 4582, No update data, 9g3qx3ehjey4
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 49, 6346, No update data, 9g3qrrbw8jmr
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 94, 13861, No update data, 9g3qrrbrtju9
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 98, 13746, No update data, 9g3qx90k0xpp
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 83, 11376, No update data, 9g3qx907f3f5
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 97, 13588, No update data, 9g3qx90k407u
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 99, 13904, No update data, 9g3qx90k42xn
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 99, 13904, No update data, 9g3qx907er7s
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 100, 14062, No update data, 9g3qx907g2ee
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 99, 13904, No update data, 9g3qx90m025f
Bird, MEX, 2e335fe6-bee6-4ac2-a573-4c766a07087c, 90, 13193, No update data, 9g3qx3tgcu8t
Bird, MEX, bc096ecd-5783-4ffe-b694-25020987449a, 98, 13746, No update data, 9g3qx201vnu9
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 98, 13746, No update data, 9g3qx907uwe2
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 98, 14529, No update data, 9g3qx90khvpc
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 88, 12166, No update data, 9g3qx32gttjy
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 98, 13746, No update data, 9g3qx90pmue0
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 98, 14529, No update data, 9g3qx3sr840e
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 48, 5846, No update data, 9g3qrxbxfqf1
Bird, MEX, 5f81f73a-286d-4d4d-bf2f-86c0e7eb1d51, 93, 12956, No update data, 9g3qx0pbqxfs
Bird, MEX, f5b148fc-11ff-48a7-99fc-c6c63a8b44d3, 98, 13746, No update data, 9g3qx0pbqnr6
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 92, 12798, No update data, 9g3qx92580jx
Bird, MEX, 86507817-86fc-4b70-9fe9-6c7016af6d82, 99, 13904, No update data, 9g3qx90t5ft1
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 64, 8374, No update data, 9g3qx834v9y4
Bird, MEX, 769dcc13-d4ef-49ed-a5e3-5a6bec6eb371, 84, 11534, No update data, 9g3qx8chh681
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 100, 14863, No update data, 9g3qrr7ucvw9
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 100, 14062, No update data, 9g3qrr7u9561
Bird, MEX, a814b4ad-478a-4e68-8ecd-0305224552f4, 69, 9686, No update data, 9g3qrr9d39gq
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 92, 13527, No update data, 9g3qx92h4tj1
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 64, 8374, No update data, 9g3qrr96uv93
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 99, 13904, No update data, 9g3qx90fnmst
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 94, 13114, No update data, 9g3qx90ghgrz
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 98, 13746, No update data, 9g3qx90ghvrg
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 98, 14529, No update data, 9g3qx92h7hb6
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 97, 13588, No update data, 9g3qx90gm27n
Bird, MEX, cc247f4d-4cf9-40e3-8069-ca1c1e7af023, 98, 13746, No update data, 9g3qx90gnmh9
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 94, 13114, No update data, 9g3qx0pe3165
