Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 94, 13861, No update data, 9g3qx203qmh6
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 100, 14062, No update data, 9g3qx202zf6q
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 94, 13861, No update data, 9g3qx2088nj7
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 100, 14062, No update data, 9g3qx90366zn
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 62, 8058, No update data, 9g3qrrd7sh5p
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 84, 11534, No update data, 9g3qx32bgs19
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 92, 12798, No update data, 9g3qx3e5z3zh
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 51, 6680, No update data, 9g3qx33zf8m4
Bird, MEX, 769dcc13-d4ef-49ed-a5e3-5a6bec6eb371, 99, 13904, No update data, 9g3qx907607y
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 25, 2212, No update data, 9g3qx3ehjzp4
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 52, 6847, No update data, 9g3qrrbrd98p
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 69, 9164, No update data, 9g3qx908gs1c
Bird, MEX, 7a33a638-3bfb-4c91-86d5-3fde981c6c15, 43, 5056, No update data, 9g3qx88vxg6d
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 89, 12324, No update data, 9g3qx32gmrfv
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 100, 14062, No update data, 9g3qx907y94z
Bird, MEX, 910e0312-ca5a-4e21-8e8c-70afb537ec5e, 100, 14062, No update data, 9g3qx907ybmc
Bird, MEX, 1d75f469-da71-4c41-834c-def856ddcf8e, 82, 11218, No update data, 9g3qrrzgzuft
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 100, 14062, No update data, 9g3qx90kxthq
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 100, 14863, No update data, 9g3qx90mpy69
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 100, 14062, No update data, 9g3qx90s9z2s
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 48, 5846, No update data, 9g3qrxbx3uqy
Bird, MEX, a814b4ad-478a-4e68-8ecd-0305224552f4, 71, 10020, No update data, 9g3qrr9dbtbe
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 100, 14062, No update data, 9g3qrr7ubbef
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 100, 14062, No update data, 9g3qx90ctewh
Bird, MEX, cc247f4d-4cf9-40e3-8069-ca1c1e7af023, 100, 14062, No update data, 9g3qx90gd1gc
Bird, MEX, a8755e9e-8c3a-4897-a6e2-6f85388bc193, 100, 14062, No update data, 9g3qrr7u6z5r
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 100, 14863, No update data, 9g3qrr7u6w00
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 100, 14062, No update data, 9g3qx90cwx4c
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 96, 13430, No update data, 9g3qx90g5yvj
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 99, 13904, No update data, 9g3qx90ft67h
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 98, 13746, No update data, 9g3qx90fqp97
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 64, 8374, No update data, 9g3qrr96sfre
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 99, 13904, No update data, 9g3qx90fpwum
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 93, 12956, No update data, 9g3qx925vww0
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 65, 8532, No update data, 9g3qx837700k
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 100, 14863, No update data, 9g3qx92hhy9e
