Bird, MEX, 917b5fbf-7a29-493d-951b-ea93dbffa032, 48, 5846, No update data, 9g3qx2xep3r3
Bird, MEX, 90124454-41c3-4255-ac81-57eaf83e9575, 78, 11189, No update data, 9g3qx2307wzy
Bird, MEX, f862db05-d71a-4e77-a29e-0c15616b5266, 78, 11189, No update data, 9g3qx2319rj3
Bird, MEX, d49d5ca8-b2be-49c1-bb76-542d534a6858, 90, 13193, No update data, 9g3qx230fw0j
Bird, MEX, 1211cb12-5bdd-43ff-a6ce-6d4b4125b5f6, 90, 13193, No update data, 9g3qx230dz51
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 88, 12166, No update data, 9g3qx3m7q94d
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 63, 8216, No update data, 9g3qx3me0ebc
Bird, MEX, 89a69735-9fae-4862-9f79-41521a94a0ae, 97, 14362, No update data, 9g3qx3m7r4k4
Bird, MEX, 668b17a0-00b0-4464-97ca-d998273380e0, 62, 8517, No update data, 9g3qx2zrhpe0
Bird, MEX, 1b96a21e-3f31-434a-b971-2d85c1d83fb5, 90, 13193, No update data, 9g3qx28u0v7f
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 33, 3674, No update data, 9g3qx28b89yb
Bird, MEX, 61878a4d-6e9f-4315-a33f-d85be43f0544, 49, 6004, No update data, 9g3qx2xg42p1
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 82, 11857, No update data, 9g3qx2zb04t9
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 92, 13527, No update data, 9g3qx3m7uxg2
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 54, 7181, No update data, 9g3qrryz0pv9
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 75, 10688, No update data, 9g3qx3mk4w21
Bird, MEX, 793d9573-515d-4e32-8aa7-5fef3ddf947f, 94, 13114, No update data, 9g3qx2zrmpuv
Bird, MEX, 61018724-9135-4d5a-950d-983225954bf5, 73, 10354, No update data, 9g3qx2zdq9dw
Bird, MEX, a3dd1cdd-17e4-4cb0-b99e-bb2f435c518c, 97, 14362, No update data, 9g3qx3mkjch2
Bird, MEX, 65cff338-d0cf-40d3-8193-b1358655873e, 88, 12859, No update data, 9g3qx3nx8cu1
Bird, MEX, 5a33c1eb-02b3-406f-a95e-2fd03b186eb0, 96, 14195, No update data, 9g3qx3mkjq6c
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 94, 13861, No update data, 9g3qx3ms187s
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 87, 12008, No update data, 9g3qx3mkqgmb
Bird, MEX, 20a94a4a-9e62-4791-8bd0-3c52b5e90646, 78, 11189, No update data, 9g3qx2zstsw4
Bird, MEX, a4e50335-c488-4221-8207-5086d4d2e02d, 81, 11690, No update data, 9g3qx2pkw6ke
Bird, MEX, c7a8ff46-f651-4863-a64c-fed79f63731e, 89, 13026, No update data, 9g3qx215ws4x
Bird, MEX, 2c922d0e-92d5-45bc-a095-e9af40ddab88, 87, 12008, No update data, 9g3qx2zsy4pt
Bird, MEX, a84b3060-dfa5-4536-b204-6cecca15d4d9, 56, 7515, No update data, 9g3qrrf6gyuc
Bird, MEX, 0a91a7e0-26e9-49ac-a47c-87c5f2f2c283, 31, 3340, No update data, 9g3qx2zsrjkj
